customer_id,age,gender,income,region,purchase_amount
7,33,Male,29715.12,"Region VI",4319.23
8,51,Male,81917.55,"Region I",1526.20
10,19,Male,17986.95,"Region X",2275.83
14,22,Male,19260.63,"Region X",1948.55
16,28,Male,85193.22,BARMM,1716.14
17,55,Male,49952.96,"Region V",4278.94
19,33,Male,30780.84,"Region I",624.73
20,25,Male,99433.32,"Region I",3950.81
21,77,Male,19170.47,"Region VI",1126.32
23,56,Male,35285.01,"Region X",3646.13
24,58,Male,35843.55,"Region III",2646.97
26,42,Male,55607.77,"Region I",848.28
29,25,Male,28219.16,"Region IX",3538.08
30,67,Male,74571.51,"Region VI",2073.93
32,24,Male,13038.40,"Region IV-A",3407.44
34,68,Male,18504.74,"Region VII",2266.77
35,77,Male,35755.87,"Region IV-A",3527.72
37,68,Male,47508.64,"Region VII",2290.37
41,20,Male,23560.49,BARMM,2532.36
42,28,Male,57020.43,BARMM,1993.81
48,59,Male,70200.14,"Region XIII",2900.09
55,45,Male,90228.61,"Region IX",4146.35
58,54,Male,50296.50,CAR,1340.39
59,63,Male,66954.10,"Region VIII",1891.42
61,55,Male,19115.38,"Region XIII",2220.27
62,46,Male,85725.38,"Region VI",4311.21
63,27,Male,76192.66,BARMM,2895.42
68,35,Male,27682.63,"Region IV-A",1057.95
69,27,Male,77484.14,"Region VIII",4051.25
73,19,Male,51907.57,"Region IV-B",3377.02
76,66,Male,89832.25,"Region IX",3687.90
79,58,Male,92460.67,NCR,2481.69
81,27,Male,13782.68,"Region XIII",2089.19
82,43,Male,41023.15,"Region IV-B",3815.52
91,68,Male,72661.29,"Region IV-B",4298.19
92,58,Male,29400.64,"Region XIII",730.46
93,70,Male,34265.80,"Region XII",2509.14
94,32,Male,58508.53,"Region VII",667.84
97,58,Male,82754.53,"Region VII",2408.20
98,59,Male,21428.58,"Region VII",2023.14
106,50,Male,69289.28,"Region I",3449.02
107,74,Male,44892.43,"Region XII",915.55
108,54,Male,32098.36,"Region VIII",1647.06
111,58,Male,41802.05,BARMM,3903.14
113,38,Male,28695.43,"Region IV-A",4366.28
118,61,Male,36523.97,"Region VIII",1095.79
119,64,Male,78611.54,"Region II",3420.25
120,35,Male,50296.76,NCR,4353.96
122,69,Male,90175.69,"Region VIII",1788.69
124,32,Male,82816.71,"Region X",1720.22
125,75,Male,69279.56,NCR,682.49
129,39,Male,20039.84,"Region XII",4544.48
130,48,Male,96210.24,"Region XIII",3559.80
133,72,Male,48403.17,"Region V",651.75
136,23,Male,79120.78,"Region II",4040.71
140,25,Male,22957.54,"Region XI",3083.53
145,24,Male,18085.97,"Region II",3933.33
146,69,Male,49446.23,"Region VIII",3450.67
148,68,Male,65135.99,"Region IV-B",1186.12
150,60,Male,99017.58,"Region XIII",3123.03
151,37,Male,36130.40,"Region IV-A",3641.30
152,54,Male,59097.14,"Region VI",4660.03
